status,Accept.,I..low.state.,I..high...low.,S.N,Nb.d,tau_on.median..s.,tau_off.median..s.,tau_on.max..s.,tau_off.max..s.,tau_on_CV,tau_off_CV
Methylated,N,-20.11276814,350.2604304,3.541183761,12,2,47.6,27.6,297.2,1.492228097,1.223453843
Methylated,Y,80.03801007,316.416128,2.519093082,19,12.6,29.8,76,96.4,1.149348465,0.886423337
Methylated,N,259.642343,670.3641971,3.62754758,24,6.4,6.4,146.8,155.6,1.862310449,1.785038651
Methylated,Y,79.5410411,577.4764879,2.585280599,8,74.4,68,81.6,121.6,0.381754678,0.545191541
Methylated,N,-21.09730576,NA,NA,0,NA,600,NA,600,NA,0
Methylated,N,25.45095811,507.0545174,2.603861737,11,12,61.4,98,205.6,1.445768716,1.068809123
Methylated,Y,88.79107142,429.7689162,2.009810062,16,12.6,44.8,93.2,118,1.24779029,0.859829071
Methylated,Y,85.58659008,427.1400333,1.800380056,8,39.4,77.2,72,192.4,0.941195297,0.726554471
Methylated,Y,-45.98048473,282.320666,2.777927939,16,9,44.4,75.6,120.4,1.262044533,0.864548744
Methylated,N,120.2686102,475.4567831,1.938897901,35,1.8,7.4,93.6,93.6,2.076735365,1.387588279
Methylated,N,13.38188393,219.1550619,1.610929402,3,20,280,33.6,282.8,0.961665222,0.014142136
Methylated,Y,26.04136409,361.3081198,2.076897174,26,8.8,22.2,61.6,102,1.23871618,1.024474605
Methylated,N,25.63576182,327.2427093,1.586093803,6,26,88.4,82.8,310.8,1.158598273,1.168822365
Methylated,Y,238.4381955,569.7843726,2.75809708,32,10.4,18.4,83.6,43.2,1.240446536,0.695788732
Methylated,Y,-22.79298151,317.2939085,2.349861607,26,4.8,13.8,87.6,106.4,1.552510169,1.124549442
Methylated,Y,268.7662529,469.8899668,2.328811046,26,7.6,33.6,44.4,58.8,1.039376544,0.754910258
Methylated,N,-12.67261893,345.8425584,3.270414483,12,9.4,62,40,239.2,1.158315209,1.065941414
Methylated,Y,8.53030527,447.2564382,2.112382443,12,17.4,29.6,115.6,175.2,1.210079406,1.196712368
Methylated,Y,68.53553389,398.5479771,1.665873263,6,122.8,77,136,180.4,0.829907891,0.882871539
Methylated,N,-2.318405058,376.5731001,2.340121857,11,17.6,56.2,76.8,220.8,1.112554618,0.97118028
Methylated,Y,78.38852466,629.3594945,3.302322835,16,10.2,20.8,85.2,153.6,1.328478999,1.195329343
Methylated,Y,359.8190862,431.3564052,2.710808301,30,14.4,9.6,66,75.6,1.125218424,1.047720331
Methylated,N,218.5320407,679.1699577,3.356505308,19,8.2,14.8,203.6,129.2,1.877038089,1.450706309
Methylated,Y,163.7186093,603.1805185,2.60099159,30,3.2,17.6,58,62.4,1.215788678,0.808775719
Methylated,Y,48.03231896,665.0791286,1.907881698,14,26.4,30.2,124.4,120,1.164428294,1.069115655
Methylated,N,34.07220039,388.9840732,2.313182909,10,1.6,66.4,103.6,165.2,1.567713898,0.904338686
Methylated,N,-35.35629436,NA,NA,0,NA,600,NA,600,NA,0
Methylated,N,142.3561764,299.2408992,1.451950124,12,11,29.6,24,242,0.734918123,1.116146239
Methylated,Y,-42.88000927,402.5760241,3.237065981,18,2.8,35.2,37.2,165.6,1.17690524,0.946680081
Methylated,N,44.37959506,460.2166909,1.894051443,14,4,39.8,49.2,267.2,1.260579349,1.370272746
Methylated,N,-45.91845143,NA,NA,0,NA,600,NA,600,NA,0
Methylated,Y,81.55530138,618.3543763,2.484540141,8,39.8,62.8,108.4,198,0.840130104,0.839098353
Methylated,Y,74.46016675,449.102162,1.988419761,18,8.4,28.8,82,166,1.394689033,1.187063142
Methylated,Y,500.8303202,481.3771946,2.847956786,22,11.6,20.2,123.6,73.2,1.232772909,0.845171704
Methylated,N,16.10293424,NA,NA,0,NA,600,NA,600,NA,0
Methylated,N,44.41493605,291.7537198,1.386637819,16,10.6,18.4,46.4,229.2,1.016054013,1.522207078
Methylated,Y,55.40538258,524.4904528,2.044605549,16,18.6,38.4,45.2,107.6,0.78103088,0.750480601
Methylated,Y,29.66767165,593.2205026,3.774960969,15,9.6,54.2,61.6,130.4,1.163510708,0.832280258
Methylated,Y,260.6118356,635.985461,2.315108788,36,6.2,16.8,60.8,72.8,1.330297531,0.907266559
Methylated,Y,76.23989219,475.9869327,1.883117167,20,5.4,25.2,47.2,187.2,1.484481223,1.259641463
Methylated,Y,-73.56155257,351.3009178,2.528174909,14,36,72.4,51.6,89.2,0.868758712,0.732605281
Methylated,N,25.71848277,518.3864568,2.166051247,2,337.6,131.2,337.6,257.6,0,1.362474042
Methylated,Y,-36.77771962,405.8509371,4.057943458,16,8,31.2,13.6,158.8,0.484738038,0.96444259
Methylated,Y,86.3855538,521.3749994,2.373483205,19,11.2,12.8,109.6,120.4,1.224224394,1.213786428
Methylated,Y,91.62435132,476.6543931,2.982142209,14,15.6,24.2,138.8,109.2,1.36946454,0.880777664
Methylated,Y,103.0858874,534.3445668,2.790911387,27,13.8,15.6,44.8,62.4,0.94243895,0.88663483
